epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,301.503,1.24363,0.70883,0.00283,0.73214,0.65674,0.67536,0.4476,1.33097,0.71722,0.00415,0.000990365,0.000990365,0.000990365
43,306.786,1.04295,0.60739,0.00276,0.74478,0.67751,0.68506,0.45627,1.35131,0.8078,0.00421,0.000973861,0.000973861,0.000973861
44,311.237,1.12198,0.53446,0.00259,0.74979,0.76461,0.73463,0.43933,1.59571,0.96592,0.00493,0.000957358,0.000957358,0.000957358
45,315.628,1.12416,0.66691,0.00276,0.75443,0.7738,0.76239,0.44296,1.84668,0.93949,0.00578,0.000940855,0.000940855,0.000940855
46,320.581,1.33894,0.64672,0.00324,0.7809,0.88,0.89906,0.54651,1.59302,0.69961,0.00504,0.000924352,0.000924352,0.000924352
47,325.473,1.09694,0.57333,0.00243,0.80195,0.96455,0.9156,0.5839,1.36676,0.68026,0.00434,0.000907848,0.000907848,0.000907848
48,329.932,1.03111,0.63838,0.00258,0.76766,0.98,0.91316,0.59471,1.35089,0.68188,0.00436,0.000891345,0.000891345,0.000891345
49,334.722,1.08144,0.53055,0.00266,0.79608,0.98,0.90586,0.59779,1.27761,0.64045,0.00415,0.000874842,0.000874842,0.000874842
50,339.541,1.07143,0.55606,0.00273,0.77858,0.86839,0.86329,0.53153,1.34477,0.60098,0.00441,0.000858338,0.000858338,0.000858338
51,343.881,1.17763,0.55866,0.00279,0.86285,0.82907,0.87338,0.51872,1.39381,0.60708,0.00452,0.000841835,0.000841835,0.000841835
52,348.432,1.09505,0.55522,0.00266,0.8541,0.94197,0.91563,0.5394,1.43776,0.62472,0.00473,0.000825332,0.000825332,0.000825332
53,353.483,1.18163,0.53635,0.00288,0.81267,0.84,0.86883,0.53264,1.50373,0.6496,0.00487,0.000808828,0.000808828,0.000808828
54,357.844,1.09116,0.48464,0.00246,0.79687,0.73686,0.76889,0.52817,1.40037,0.5966,0.00454,0.000792325,0.000792325,0.000792325
55,362.391,1.09386,0.59344,0.00266,0.72297,0.7526,0.73599,0.50095,1.32736,0.63438,0.00422,0.000775822,0.000775822,0.000775822
56,367.462,1.02052,0.45261,0.00241,0.76068,0.64798,0.70351,0.45419,1.38252,0.7003,0.00443,0.000759318,0.000759318,0.000759318
57,371.867,1.04774,0.5111,0.0023,0.72786,0.80104,0.70747,0.46688,1.42938,0.663,0.0046,0.000742815,0.000742815,0.000742815
58,376.288,1.00186,0.42151,0.00247,0.82132,0.74949,0.76178,0.528,1.35063,0.56981,0.00439,0.000726312,0.000726312,0.000726312
59,381.482,0.90694,0.43496,0.0021,0.85188,0.9011,0.86472,0.53158,1.26467,0.6294,0.00411,0.000709809,0.000709809,0.000709809
60,385.807,0.99613,0.44931,0.00239,0.82521,0.96,0.85871,0.54106,1.31698,0.56545,0.00422,0.000693305,0.000693305,0.000693305
61,390.322,0.89571,0.44885,0.00227,0.85549,0.97246,0.88248,0.55595,1.32347,0.58415,0.00425,0.000676802,0.000676802,0.000676802
62,395.644,1.03412,0.51054,0.00267,0.79659,0.94779,0.90414,0.61114,1.39893,0.6399,0.00449,0.000660299,0.000660299,0.000660299
63,400.093,0.91771,0.46152,0.00214,0.8902,0.84,0.83638,0.59918,1.47271,0.71525,0.00465,0.000643795,0.000643795,0.000643795
